"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"bankrun6.nlogox"
"pilot_smoketest"
"07/11/2026 15:43:12:272 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","avg-connections","lolr-active?","reserve-ratio","fundamental-shock?","num-nodes","beta","watcher-share","watcher-credibility","risk-threshold","shock-size","spontaneous-concern","lolr-cap","forgetfulness","warmup-ticks","dynamic-rewiring?","weight-by-credibility-sum?","[step]","bank-alive?","ticks-since-shock","peak-withdrawn","frac-withdrawn","frac-concerned","liquidity-ratio","count links / count turtles"
"5","2","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.2","0.1","1"
"6","2","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.025","0","0.26","0.1","1"
"3","2","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.03","0","0.27","0.1","1"
"2","2","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.21","0.1","1"
"7","2","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.195","0.1","1"
"4","2","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.035","0","0.205","0.1","1"
"1","2","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.165","0.1","1"
"8","2","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.025","0","0.135","0.1","1"
"11","2","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.035","0","0.265","0.1","1"
"9","2","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.22","0.1","1"
"13","2","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.235","0.1","1"
"12","2","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.14","0.1","1"
